X_Radial,Y_Tangential,Z_Axial
0.011,0,-0
0.0119326530612245,0,-0
0.012865306122449,0,-0
0.0137979591836735,0,-0
0.014730612244898,0,-0
0.0156632653061224,0,-0
0.0165959183673469,0,-0
0.0175285714285714,0,-0
0.0184612244897959,0,-0
0.0193938775510204,0,-0
0.0203265306122449,0,-0
0.0212591836734694,0,-0
0.0221918367346939,0,-0
0.0231244897959184,0,-0
0.0240571428571429,0,-0
0.0249897959183673,0,-0
0.0259224489795918,0,-0
0.0268551020408163,0,-0
0.0277877551020408,0,-0
0.0287204081632653,0,-0
0.0296530612244898,0,-0
0.0305857142857143,0,-0
0.0315183673469388,0,-0
0.0324510204081633,0,-0
0.0333836734693878,0,-0
0.0343163265306122,0,-0
0.0352489795918367,0,-0
0.0361816326530612,0,-0
0.0371142857142857,0,-0
0.0380469387755102,0,-0
0.0389795918367347,0,-0
0.0399122448979592,0,-0
0.0408448979591837,0,-0
0.0417775510204082,0,-0
0.0427102040816327,0,-0
0.0436428571428571,0,-0
0.0445755102040816,0,-0
0.0455081632653061,0,-0
0.0464408163265306,0,-0
0.0473734693877551,0,-0
0.0483061224489796,0,-0
0.0492387755102041,0,-0
0.0501714285714286,0,-0
0.0511040816326531,0,-0
0.0520367346938776,0,-0
0.052969387755102,0,-0
0.0539020408163265,0,-0
0.054834693877551,0,-0
0.0557673469387755,0,-0
0.0567,0,-0
